titulo_oferta,empresa,ciudad,salario_raw,fecha_raw,modalidad_raw,descripcion_raw,url_oferta,fuente,fecha_publicacion,salario_usd,categoria_rol,clave_deduplicacion,ciudad_limpia,provincia,pais,nombre_rol,modalidad,nombre_tecnologia,categoria_tecnologia,tipo_fuente,num_vacantes,experiencia_anios
Arquitecto de acabados y coordinacion de proyectos,,"Quito, Pichincha",,Hace  20  horas,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-arquitecto-de-acabados-y-coordinacion-de-proyectos-proyectos-multifamiliares-en-quito-CED88620F5997A5761373E686DCF3405#lc=ListOffers-Score3-11,computrabajo_ec,2026-07-03,,Otros,"arquitecto de acabados y coordinacion de proyectos||quito, pichincha|computrabajo_ec",Quito,Pichincha,Ecuador,Arquitecto De Acabados Y Coordinacion De Proyectos,No especificado,No especificado,No especificado,Scraping,1,
Analista de tienda,DHISVE,"4,5","550,00 US$ (Mensual) + Comisiones",Hace  20  horas,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-tienda-punto-de-venta-en-quito-259867D225DC053F61373E686DCF3405#lc=ListOffers-Score3-12,computrabajo_ec,2026-07-03,550.0,Otros,"analista de tienda|dhisve|4,5|computrabajo_ec",4,5,Ecuador,Analista De Tienda,No especificado,No especificado,No especificado,Scraping,1,
Asistente técnico de diseño y producción,TPDI TROQUELADOS PARTES Y DESARROLLOS INDUSTRIALES,"Ambato, Tungurahua",,Ayer,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-tecnico-de-diseno-y-produccion-metalmecanica-planos-y-control-de-produccion-en-ambato-546A152828A08B5F61373E686DCF3405#lc=ListOffers-Score3-13,computrabajo_ec,2026-07-02,,Soporte Técnico,"asistente técnico de diseño y producción|tpdi troquelados partes y desarrollos industriales|ambato, tungurahua|computrabajo_ec",Ambato,Tungurahua,Ecuador,Asistente Técnico De Diseño Y Producción,No especificado,No especificado,No especificado,Scraping,1,
B2B Sales Representative,,"Quito, Pichincha",,Ayer,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-b2b-sales-representative-bilingual-en-quito-7524CDA21C873BD761373E686DCF3405#lc=ListOffers-Score3-14,computrabajo_ec,2026-07-02,,Otros,"b2b sales representative||quito, pichincha|computrabajo_ec",Quito,Pichincha,Ecuador,B2B Sales Representative,No especificado,No especificado,No especificado,Scraping,1,
Consultor(a) Freelance de Marca Personal y Posicionamiento B2B (Remoto),Campus Soft Loja Tecnología Cia. Ltda.,"Quito, Pichincha",,Ayer,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-consultora-freelance-de-marca-personal-y-posicionamiento-b2b-remoto-en-quito-D7F7E5517B63FC8661373E686DCF3405#lc=ListOffers-Score3-15,computrabajo_ec,2026-07-02,,Otros,"consultor(a) freelance de marca personal y posicionamiento b2b (remoto)|campus soft loja tecnología cia. ltda.|quito, pichincha|computrabajo_ec",Quito,Pichincha,Ecuador,Consultor(A) Freelance De Marca Personal Y Posicionamiento B2B (Remoto),No especificado,No especificado,No especificado,Scraping,1,
Agente call center,,"Quito, Pichincha","500,00 US$ (Mensual) + Comisiones",Ayer,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-agente-call-center-asesor-comercial-en-quito-72207EA49D409C8561373E686DCF3405#lc=ListOffers-Score3-16,computrabajo_ec,2026-07-02,500.0,Otros,"agente call center||quito, pichincha|computrabajo_ec",Quito,Pichincha,Ecuador,Agente Call Center,No especificado,No especificado,No especificado,Scraping,1,
Filmmaker y Editor de Video Junior Quito,BlueCaribu Ecuador,"Quito, Pichincha","600,00 US$ (Mensual)",Ayer,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-filmmaker-y-editor-de-video-junior-quito-hibrido-en-quito-95BC2705A15C440B61373E686DCF3405#lc=ListOffers-Score3-17,computrabajo_ec,2026-07-02,600.0,Otros,"filmmaker y editor de video junior quito|bluecaribu ecuador|quito, pichincha|computrabajo_ec",Quito,Pichincha,Ecuador,Filmmaker Y Editor De Video Junior Quito,No especificado,No especificado,No especificado,Scraping,1,
Asesor Comercial,Innovastec,"Quito, Pichincha",,Hace  2  días,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-en-quito-409543B0116BAB2861373E686DCF3405#lc=ListOffers-Score3-18,computrabajo_ec,2026-07-01,,Otros,"asesor comercial|innovastec|quito, pichincha|computrabajo_ec",Quito,Pichincha,Ecuador,Asesor Comercial,No especificado,No especificado,No especificado,Scraping,1,
Operational Support Agent (PCD),Siigo del Ecuador,"Guayaquil, Guayas","394,00 US$ (Mensual)",Hace  4  días,,,https://ec.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-operational-support-agent-pcd-en-guayaquil-39FE437CDC9AFAE461373E686DCF3405#lc=ListOffers-Score3-19,computrabajo_ec,2026-06-29,394.0,Otros,"operational support agent (pcd)|siigo del ecuador|guayaquil, guayas|computrabajo_ec",Guayaquil,Guayas,Ecuador,Operational Support Agent (Pcd),No especificado,No especificado,No especificado,Scraping,1,
Analista Programador(a) – Desarrollo de Software Empresarial / San Isidro,QUE TAL COMPRA DEL PERU S.A.C.,"San Isidro, Lima",,Hace  7  horas,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-programadora-desarrollo-de-software-empresarial-san-isidro-sector-tecnologico-en-san-isidro-DB29EBD56110146D61373E686DCF3405#lc=ListOffers-Score4-0,computrabajo_pe,2026-07-03,,Desarrollo de Software,"analista programador(a) – desarrollo de software empresarial / san isidro|que tal compra del peru s.a.c.|san isidro, lima|computrabajo_pe",San Isidro,Lima,Perú,Analista Programador(A) – Desarrollo De Software Empresarial / San Isidro,No especificado,No especificado,No especificado,Scraping,1,
Analista de Calidad de Software Tacna,,"Tacna, Tacna",,Hace  11  horas,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-calidad-de-software-tacna-en-tacna-216F97877DF1A5B761373E686DCF3405#lc=ListOffers-Score4-1,computrabajo_pe,2026-07-03,,QA / Testing,"analista de calidad de software tacna||tacna, tacna|computrabajo_pe",Tacna,Tacna,Perú,Analista De Calidad De Software Tacna,No especificado,No especificado,No especificado,Scraping,1,
Asistente de Desarrollo de Software –  San Borja,GRUPO DIGITAL SMILES MBE S.A.C.,"San Borja, Lima","S/. 1.300,00 (Mensual)",Hace  12  horas,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-de-desarrollo-de-software--san-borja-en-san-borja-9E1191758F8B4F6261373E686DCF3405#lc=ListOffers-Score4-2,computrabajo_pe,2026-07-03,1300.0,Desarrollo de Software,"asistente de desarrollo de software –  san borja|grupo digital smiles mbe s.a.c.|san borja, lima|computrabajo_pe",San Borja,Lima,Perú,Asistente De Desarrollo De Software –  San Borja,No especificado,No especificado,No especificado,Scraping,1,
Software Analyst Lims / Cercado de Lima,ALS LS PERU S.A.C.,"Lima, Lima",,Hace  13  horas,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-software-analyst-lims-cercado-de-lima-en-lima-ABE5FCE23CDB9C6361373E686DCF3405#lc=ListOffers-Score4-3,computrabajo_pe,2026-07-03,,Desarrollo de Software,"software analyst lims / cercado de lima|als ls peru s.a.c.|lima, lima|computrabajo_pe",Lima,Lima,Perú,Software Analyst Lims / Cercado De Lima,No especificado,No especificado,No especificado,Scraping,1,
Analista de sistemas/Software,Fundición Chilca S.A. - FUCSA,"4,4",,Hace  17  horas,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-sistemassoftware-en-san-isidro-EBFBFCEB37350A4361373E686DCF3405#lc=ListOffers-Score4-4,computrabajo_pe,2026-07-03,,Desarrollo de Software,"analista de sistemas/software|fundición chilca s.a. - fucsa|4,4|computrabajo_pe",4,4,Perú,Analista De Sistemas/Software,No especificado,No especificado,No especificado,Scraping,1,
Analista de Control de Calidad de Software,CONSULTORIA Y ASESORIA EN TECNOLOGIA CONASTEC S.R.L.,"4,4",,Hace  19  horas,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-control-de-calidad-de-software-tester-en-san-isidro-34665C04D99F83F261373E686DCF3405#lc=ListOffers-Score4-5,computrabajo_pe,2026-07-03,,QA / Testing,"analista de control de calidad de software|consultoria y asesoria en tecnologia conastec s.r.l.|4,4|computrabajo_pe",4,4,Perú,Analista De Control De Calidad De Software,No especificado,No especificado,No especificado,Scraping,1,
Analista de QA,OSYS,"Santiago De Surco, Lima","S/. 3.000,00 (Mensual)",Ayer,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-qa-calidad-de-software-en-santiago-de-surco-7CF1667BBE09F1C861373E686DCF3405#lc=ListOffers-Score4-6,computrabajo_pe,2026-07-02,3000.0,QA / Testing,"analista de qa|osys|santiago de surco, lima|computrabajo_pe",Santiago De Surco,Lima,Perú,Analista De Qa,No especificado,No especificado,No especificado,Scraping,1,
Practicante de Desarrollo de Software (Remoto),MB GROUP SAC,"Surquillo, Lima","S/. 1.130,00 (Mensual)",Ayer,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-desarrollo-de-software-remoto-en-surquillo-D586C54DC395E54B61373E686DCF3405#lc=ListOffers-Score4-7,computrabajo_pe,2026-07-02,1130.0,Desarrollo de Software,"practicante de desarrollo de software (remoto)|mb group sac|surquillo, lima|computrabajo_pe",Surquillo,Lima,Perú,Practicante De Desarrollo De Software (Remoto),No especificado,No especificado,No especificado,Scraping,1,
Superintendente de aplicaciones de Software,Agrovision Peru Sac,"4,6",,Hace  2  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-superintendente-de-aplicaciones-de-software-en-olmos-37F3BA79A5F3808D61373E686DCF3405#lc=ListOffers-Score4-8,computrabajo_pe,2026-07-01,,Desarrollo de Software,"superintendente de aplicaciones de software|agrovision peru sac|4,6|computrabajo_pe",4,6,Perú,Superintendente De Aplicaciones De Software,No especificado,No especificado,No especificado,Scraping,1,
"Practicante de Optimización de datos (Ing. Industrial, Ing. de Software,  Ing. de Sistemas)",Textiles Camones,"4,1",,Hace  2  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-de-optimizacion-de-datos-ing-industrial-ing-de-software-ing-de-sistemas-en-puente-piedra-26D2018FE0076BAE61373E686DCF3405#lc=ListOffers-Score4-9,computrabajo_pe,2026-07-01,,Data / BI,"practicante de optimización de datos (ing. industrial, ing. de software,  ing. de sistemas)|textiles camones|4,1|computrabajo_pe",4,1,Perú,"Practicante De Optimización De Datos (Ing. Industrial, Ing. De Software,  Ing. De Sistemas)",No especificado,No especificado,No especificado,Scraping,1,
Practicante Profesional de Desarrollo de Software IA,ESCUELA IBEROAMERICA DE NEGOCIOS,"Surquillo, Lima","S/. 1.300,00 (Mensual)",Hace  2  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-profesional-de-desarrollo-de-software-ia-en-surquillo-CCB80F3D76913A3A61373E686DCF3405#lc=ListOffers-Score4-10,computrabajo_pe,2026-07-01,1300.0,Desarrollo de Software,"practicante profesional de desarrollo de software ia|escuela iberoamerica de negocios|surquillo, lima|computrabajo_pe",Surquillo,Lima,Perú,Practicante Profesional De Desarrollo De Software Ia,No especificado,No especificado,No especificado,Scraping,1,
Analista de Calidad de Software,IDE SOLUTION,"4,7",,Hace  2  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-calidad-de-software-remoto-en-san-borja-D16DC15006645FC661373E686DCF3405#lc=ListOffers-Score4-11,computrabajo_pe,2026-07-01,,QA / Testing,"analista de calidad de software|ide solution|4,7|computrabajo_pe",4,7,Perú,Analista De Calidad De Software,No especificado,No especificado,No especificado,Scraping,1,
Implementador de Soluciones ITSM,Dicomtech,"San Borja, Lima",,Hace  2  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-implementador-de-soluciones-itsm-software-mesa-de-ayuda-en-san-borja-B3759D1408AE89C361373E686DCF3405#lc=ListOffers-Score4-12,computrabajo_pe,2026-07-01,,Otros,"implementador de soluciones itsm|dicomtech|san borja, lima|computrabajo_pe",San Borja,Lima,Perú,Implementador De Soluciones Itsm,No especificado,No especificado,No especificado,Scraping,1,
"Asistente Técnico de Redes, Software y hadware",Ceneris EIRL,"Miraflores, Lima","S/. 1.300,00 (Mensual)",Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-tecnico-de-redes-software-y-hadware-en-miraflores-418C11D83C870CFA61373E686DCF3405#lc=ListOffers-Score4-13,computrabajo_pe,2026-06-30,1300.0,Soporte Técnico,"asistente técnico de redes, software y hadware|ceneris eirl|miraflores, lima|computrabajo_pe",Miraflores,Lima,Perú,"Asistente Técnico De Redes, Software Y Hadware",No especificado,No especificado,No especificado,Scraping,1,
Docente Pregrado de Software y Tecnología en la Salud,Universidad de Ciencias y Humanidades,"4,6",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-docente-pregrado-de-software-y-tecnologia-en-la-salud-en-los-olivos-746B645EE8A9C08D61373E686DCF3405#lc=ListOffers-Score4-14,computrabajo_pe,2026-06-30,,Desarrollo de Software,"docente pregrado de software y tecnología en la salud|universidad de ciencias y humanidades|4,6|computrabajo_pe",4,6,Perú,Docente Pregrado De Software Y Tecnología En La Salud,No especificado,No especificado,No especificado,Scraping,1,
Customer Service / Galaxy Consultant Samsung Móvil/ Soporte técnico Software,Grupo Tawa,"4,3",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-customer-service-galaxy-consultant-samsung-movil-soporte-tecnico-software-descansa-domingos-planilla-s1700-en-villa-el-salvador-DB46555DFA68D9AF61373E686DCF3405#lc=ListOffers-Score4-15,computrabajo_pe,2026-06-30,,Soporte Técnico,"customer service / galaxy consultant samsung móvil/ soporte técnico software|grupo tawa|4,3|computrabajo_pe",4,3,Perú,Customer Service / Galaxy Consultant Samsung Móvil/ Soporte Técnico Software,No especificado,No especificado,No especificado,Scraping,1,
Ejecutivo Comercial / Venta de Software,Semco S.A.,"4,2",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-comercial-venta-de-software-experiencia-en-venta-de-software-yo-sistemas-en-santiago-de-surco-25336A4E043B022261373E686DCF3405#lc=ListOffers-Score4-16,computrabajo_pe,2026-06-30,,Desarrollo de Software,"ejecutivo comercial / venta de software|semco s.a.|4,2|computrabajo_pe",4,2,Perú,Ejecutivo Comercial / Venta De Software,No especificado,No especificado,No especificado,Scraping,1,
Ejecutivo de Ventas de Software,Semco S.A.,"4,2",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-de-ventas-de-software-en-santiago-de-surco-ACDEF68EC7E4B8D961373E686DCF3405#lc=ListOffers-Score4-17,computrabajo_pe,2026-06-30,,Desarrollo de Software,"ejecutivo de ventas de software|semco s.a.|4,2|computrabajo_pe",4,2,Perú,Ejecutivo De Ventas De Software,No especificado,No especificado,No especificado,Scraping,1,
Arquitecto software,Software Enterprise Services SAC,"4,2",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-arquitecto-software-en-san-isidro-70E61D135AA1022461373E686DCF3405#lc=ListOffers-Score4-18,computrabajo_pe,2026-06-30,,Desarrollo de Software,"arquitecto software|software enterprise services sac|4,2|computrabajo_pe",4,2,Perú,Arquitecto Software,No especificado,No especificado,No especificado,Scraping,1,
Asistente Comercial,,"Santiago De Surco, Lima",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-comercial-venta-de-software-en-santiago-de-surco-8404E81472F3A9CF61373E686DCF3405#lc=ListOffers-Score4-19,computrabajo_pe,2026-06-30,,Otros,"asistente comercial||santiago de surco, lima|computrabajo_pe",Santiago De Surco,Lima,Perú,Asistente Comercial,No especificado,No especificado,No especificado,Scraping,1,
"Ejecutivo Comercial / Contac Center MANATEL OFERTA LABORAL: Ejecutivo Comercial. Ubicación: GUAYAQUIL (NORTE) Horario: JORNADA DE OFICINA TIEMPO COMPLETO O MEDIO TIEMPO Salario: SUELDO FIJO $482 Inicio: INMEDIATO DESCRIPCION DEL PUESTO: Buscamos personas dinámicas, con habilidades comunicativas y orientadas al cliente, para unirse a nuestro equipo... Tiempo Completo Guayaquil, Guayas • 22/05/2026 $482,00 / Mensual",,GUAYAQUIL,$482,22/05/2026,Tiempo Completo,"Premium Ejecutivo Comercial / Contac Center MANATEL OFERTA LABORAL: Ejecutivo Comercial. Ubicación: GUAYAQUIL (NORTE) Horario: JORNADA DE OFICINA TIEMPO COMPLETO O MEDIO TIEMPO Salario: SUELDO FIJO $482 Inicio: INMEDIATO DESCRIPCION DEL PUESTO: Buscamos personas dinámicas, con habilidades comunicativas y orientadas al cliente, para unirse a nuestro equipo... Tiempo Completo Guayaquil, Guayas • 22/05/2026 $482,00 / Mensual",https://ec.trabajosdiarios.com/trabajo/3038497/ejecutivo-comercial-contac-center-en-guayas,trabajosdiarios,2026-05-22,482.0,Data / BI,"ejecutivo comercial / contac center manatel oferta laboral: ejecutivo comercial. ubicación: guayaquil (norte) horario: jornada de oficina tiempo completo o medio tiempo salario: sueldo fijo $482 inicio: inmediato descripcion del puesto: buscamos personas dinámicas, con habilidades comunicativas y orientadas al cliente, para unirse a nuestro equipo... tiempo completo guayaquil, guayas • 22/05/2026 $482,00 / mensual||guayaquil|trabajosdiarios",Guayaquil,No especificado,Ecuador,"Ejecutivo Comercial / Contac Center Manatel Oferta Laboral: Ejecutivo Comercial. Ubicación: Guayaquil (Norte) Horario: Jornada De Oficina Tiempo Completo O Medio Tiempo Salario: Sueldo Fijo $482 Inicio: Inmediato Descripcion Del Puesto: Buscamos Personas Dinámicas, Con Habilidades Comunicativas Y Orientadas Al Cliente, Para Unirse A Nuestro Equipo... Tiempo Completo Guayaquil, Guayas • 22/05/2026 $482,00 / Mensual",Presencial,No especificado,No especificado,Scraping,1,
"Asesor/a Comercial de Software y Tecnología Pacusoft SAS En Pacusoft buscamos incorporar a nuestro equipo un/a Asesor/a Comercial con iniciativa, buena comunicación y orientación a resultados, para impulsar la promoción de nuestras soluciones de software y servicios tecnológicos. Buscamos una persona con habilidades comerciales, facilidad para relacionarse con... Tiempo Completo Quito, Pichincha • 14/05/2026 $550,00 / Mensual",,Quito,"$550,00",14/05/2026,Tiempo Completo,"Premium Asesor/a Comercial de Software y Tecnología Pacusoft SAS En Pacusoft buscamos incorporar a nuestro equipo un/a Asesor/a Comercial con iniciativa, buena comunicación y orientación a resultados, para impulsar la promoción de nuestras soluciones de software y servicios tecnológicos. Buscamos una persona con habilidades comerciales, facilidad para relacionarse con... Tiempo Completo Quito, Pichincha • 14/05/2026 $550,00 / Mensual",https://ec.trabajosdiarios.com/trabajo/3034647/asesora-comercial-de-software-y-tecnologia-en-pichincha,trabajosdiarios,2026-05-14,550.0,Data / BI,"asesor/a comercial de software y tecnología pacusoft sas en pacusoft buscamos incorporar a nuestro equipo un/a asesor/a comercial con iniciativa, buena comunicación y orientación a resultados, para impulsar la promoción de nuestras soluciones de software y servicios tecnológicos. buscamos una persona con habilidades comerciales, facilidad para relacionarse con... tiempo completo quito, pichincha • 14/05/2026 $550,00 / mensual||quito|trabajosdiarios",Quito,No especificado,Ecuador,"Asesor/A Comercial De Software Y Tecnología Pacusoft Sas En Pacusoft Buscamos Incorporar A Nuestro Equipo Un/A Asesor/A Comercial Con Iniciativa, Buena Comunicación Y Orientación A Resultados, Para Impulsar La Promoción De Nuestras Soluciones De Software Y Servicios Tecnológicos. Buscamos Una Persona Con Habilidades Comerciales, Facilidad Para Relacionarse Con... Tiempo Completo Quito, Pichincha • 14/05/2026 $550,00 / Mensual",Presencial,No especificado,No especificado,Scraping,1,
